# Generated from local shadcn-ui and Magic UI inspiration sources. Do not hand-edit.
calendar-01	Calendar 01	A simple calendar.	block	1	blocks/calendar-01.tsx	calendar-01.tsx	import Calendar01 from "@/components/blocks/calendar-01";	<Calendar01 />
calendar-02	Calendar 02	Multiple months with single selection.	block	1	blocks/calendar-02.tsx	calendar-02.tsx	import Calendar02 from "@/components/blocks/calendar-02";	<Calendar02 />
calendar-03	Calendar 03	Multiple months with multiple selection.	block	1	blocks/calendar-03.tsx	calendar-03.tsx	import Calendar03 from "@/components/blocks/calendar-03";	<Calendar03 />
calendar-04	Calendar 04	Single month with range selection	block	1	blocks/calendar-04.tsx	calendar-04.tsx	import Calendar04 from "@/components/blocks/calendar-04";	<Calendar04 />
calendar-05	Calendar 05	Multiple months with range selection	block	1	blocks/calendar-05.tsx	calendar-05.tsx	import Calendar05 from "@/components/blocks/calendar-05";	<Calendar05 />
calendar-06	Calendar 06	Range selection with minimum days	block	1	blocks/calendar-06.tsx	calendar-06.tsx	import Calendar06 from "@/components/blocks/calendar-06";	<Calendar06 />
calendar-07	Calendar 07	Range selection with minimum and maximum days	block	1	blocks/calendar-07.tsx	calendar-07.tsx	import Calendar07 from "@/components/blocks/calendar-07";	<Calendar07 />
calendar-08	Calendar 08	Calendar with disabled days	block	1	blocks/calendar-08.tsx	calendar-08.tsx	import Calendar08 from "@/components/blocks/calendar-08";	<Calendar08 />
calendar-09	Calendar 09	Calendar with disabled weekends	block	1	blocks/calendar-09.tsx	calendar-09.tsx	import Calendar09 from "@/components/blocks/calendar-09";	<Calendar09 />
calendar-10	Calendar 10	Today button	block	1	blocks/calendar-10.tsx	calendar-10.tsx	import Calendar10 from "@/components/blocks/calendar-10";	<Calendar10 />
calendar-11	Calendar 11	Start and end of month	block	1	blocks/calendar-11.tsx	calendar-11.tsx	import Calendar11 from "@/components/blocks/calendar-11";	<Calendar11 />
calendar-12	Calendar 12	Localized calendar	block	1	blocks/calendar-12.tsx	calendar-12.tsx	import Calendar12 from "@/components/blocks/calendar-12";	<Calendar12 />
calendar-13	Calendar 13	With Month and Year Dropdown	block	1	blocks/calendar-13.tsx	calendar-13.tsx	import Calendar13 from "@/components/blocks/calendar-13";	<Calendar13 />
calendar-14	Calendar 14	With Booked/Unavailable Days	block	1	blocks/calendar-14.tsx	calendar-14.tsx	import Calendar14 from "@/components/blocks/calendar-14";	<Calendar14 />
calendar-15	Calendar 15	With Week Numbers	block	1	blocks/calendar-15.tsx	calendar-15.tsx	import Calendar15 from "@/components/blocks/calendar-15";	<Calendar15 />
calendar-16	Calendar 16	With time picker	block	1	blocks/calendar-16.tsx	calendar-16.tsx	import Calendar16 from "@/components/blocks/calendar-16";	<Calendar16 />
calendar-17	Calendar 17	With time picker inline	block	1	blocks/calendar-17.tsx	calendar-17.tsx	import Calendar17 from "@/components/blocks/calendar-17";	<Calendar17 />
calendar-18	Calendar 18	Variable size	block	1	blocks/calendar-18.tsx	calendar-18.tsx	import Calendar18 from "@/components/blocks/calendar-18";	<Calendar18 />
calendar-19	Calendar 19	With presets	block	1	blocks/calendar-19.tsx	calendar-19.tsx	import Calendar19 from "@/components/blocks/calendar-19";	<Calendar19 />
calendar-20	Calendar 20	With time presets	block	1	blocks/calendar-20.tsx	calendar-20.tsx	import Calendar20 from "@/components/blocks/calendar-20";	<Calendar20 />
